Region;United States;Alabama;Alaska;Arizona;Arkansas;California;Colorado;Connecticut;Delaware;District of Columbia;Florida;Georgia;Hawaii;Idaho;Illinois;Indiana;Iowa;Kansas;Kentucky;Louisiana;Maine;Maryland;Massachusetts;Michigan;Minnesota;Mississippi;Missouri;Montana;Nebraska;Nevada;New Hampshire;New Jersey;New Mexico;New York;North Carolina;North Dakota;Ohio;Oklahoma;Oregon;Pennsylvania;Rhode Island;South Carolina;South Dakota;Tennessee;Texas;Utah;Vermont;Virginia;Washington;West Virginia;Wisconsin;Wyoming
F 21 years;2109965;33374;2857;48255;20795;247246;38364;24341;6789;4522;125012;75218;6095;14105;73555;49171;23478;19525;24427;30667;9020;37217;51768;66527;35130;19910;40064;6351;12632;16491;9365;51698;13883;118526;73842;6610;70871;28834;23788;77023;8940;33034;6096;45032;195174;25137;5281;55411;44370;12404;37760;3980
F 22 to 24 years;6181806;90818;11768;144458;54202;722403;110016;69714;14007;15124;362829;204259;24733;32201;246931;135714;58635;55663;86011;84085;20871;113483;136581;189570;102689;59349;113072;22126;40867;55204;24540;171197;37182;371618;197969;14604;219345;74534;73869;225474;18481;90176;16037;124376;592952;83938;12295;166026;139523;28498;111412;10377
F 25 to 29 years;10888520;156059;26123;242978;93851;1374436;211216;109584;30378;38447;644586;367378;46712;58098;420133;218299;98248;91128;141749;145912;40211;194426;242315;320308;178473;88950;196286;31805;63892;106697;41118;286805;67554;689476;336124;24985;375753;125663;142390;403527;35771;160231;25406;236945;1029802;121969;19135;275502;267491;49532;179016;15647
F 30 to 34 years;11382784;165723;26893;241045;98951;1457591;218389;112666;34562;39298;704001;376609;48714;63316;428173;219827;95577;91661;145923;163889;42886;216714;247190;322539;184445;94754;207325;35782;60685;115421;44364;299635;68259;709596;359162;25862;389907;134802;152118;428409;37883;177672;27481;239537;1059865;115594;18752;291512;293363;51227;179863;17372
F 35 to 39 years;11049601;160065;25939;228659;101015;1345433;211356;114563;29487;32021;673944;374625;48562;65497;425411;215783;105007;96559;143204;163617;44891;219185;235351;303586;195133;100906;203451;36192;61329;111911;42727;296562;68117;651565;339542;24666;370562;137315;146937;407971;34640;171576;28600;233924;1050984;113585;21856;304413;273759;50781;184020;22817
F 40 to 44 years;10659952;162924;24437;218275;91440;1296122;197236;112547;31842;24568;686040;371808;45855;60291;409647;213334;94936;87572;142160;150947;39563;201734;217616;303341;181932;95051;192026;31822;63806;100089;39290;312301;63723;629764;350052;21718;357742;125300;145046;393819;33591;161632;26110;220016;991973;113594;17881;287097;263309;57897;183079;16057
F 45 to 49 years;9914954;157010;18657;209408;89495;1209824;173398;108678;27552;17481;661601;355400;40624;53193;383340;201226;83563;79935;135350;130199;40289;191940;209308;289669;156512;89830;175260;28135;53108;94843;40047;293427;59404;592105;333731;18406;339535;109678;126711;366901;31540;153013;22353;214447;920524;91585;17739;264583;221546;51815;165092;15944
F 50 to 54 years;10472757;160616;20121;215092;90520;1239439;171381;126440;31806;17098;708650;361145;43104;53162;407492;208421;90048;82141;141875;138453;45119;211221;237486;324380;172488;93770;185732;29305;53433;99660;48820;320952;60104;660571;355566;19638;373559;113336;129306;417644;36091;167090;23443;225232;892895;83134;20867;279769;231775;56503;181984;14880
F 55 to 59 years;10702465;168799;20732;214006;98381;1227163;174823;134902;35277;17324;756342;348419;42971;57808;410063;211563;98630;87184;153372;143884;51435;213432;247571;331797;182467;89755;200093;34459;58959;93709;53350;328227;65191;676448;344596;20739;390423;120153;125373;446946;37307;181168;27198;226436;850861;76576;23989;282101;233195;59946;209402;17520
F 60 and 61 years;4542997;71550;9501;90725;41205;480351;73087;53570;16240;7102;316686;152200;17977;22822;178665;97991;45041;40611;63056;68855;23622;89992;100204;151411;79313;41772;91398;15893;25882;40271;22823;129623;31792;292558;145091;9981;165550;53723;58381;189396;19984;73990;13930;97756;344724;31304;10452;121917;101107;26133;87078;8711
F 62 to 64 years;6617129;108815;13932;148202;60622;703127;108113;78572;24090;9658;467935;194370;30272;33925;250262;131063;64118;59290;92995;92468;35024;131144;145437;224552;117253;63673;130574;24792;36948;59508;34116;197806;43368;418727;219440;14722;256391;75713;85728;286653;23829;110966;15852;149386;488763;49010;15490;169624;146470;42132;120516;11693
F 65 and 66 years;4080082;65406;8749;87926;36713;446927;65186;48452;15901;6380;305819;128628;17051;24583;156953;82795;40615;34876;58920;56737;20295;74601;89380;137292;70424;42148;79394;15094;22800;38665;18148;117634;31077;251543;130579;8718;153350;45242;56048;176533;12947;67983;11804;84573;293366;27208;8132;106542;90167;26005;75494;8279
F 67 to 69 years;5571798;93405;11625;131766;51638;584569;92113;60892;23263;8520;415108;164184;27841;30436;209367;114694;52930;46610;79310;82098;29673;102492;121155;178960;94333;49712;106439;24133;32743;53981;26366;154361;43878;329652;188142;11377;212413;62241;80520;245439;20591;96964;14276;128818;403715;40232;15576;140593;128759;37145;106497;10253
F 70 to 74 years;8221808;131884;12018;196944;79532;856620;132646;91342;28047;13670;665556;249181;38628;44944;302237;164362;80128;72165;113461;115513;45783;151513;178690;270996;133728;73499;161020;29723;46110;75779;41126;221213;51338;508179;278014;16409;309045;99060;121954;348028;29061;160737;22463;175718;591600;57437;18222;207089;190323;54766;149910;14397
F 75 to 79 years;5452475;89173;8588;139023;55048;575970;78076;62573;19327;9678;481105;159070;29247;30236;212959;107615;51650;44766;74510;70498;28421;100195;115479;175183;88236;47331;103965;19602;28606;50617;24354;153242;36725;350977;183095;11143;201664;63429;74127;234159;19565;96793;12021;116377;374077;36451;12292;141799;115613;33617;95540;8668
F 80 to 84 years;3582418;62434;4196;83293;33521;385582;54507;43555;12257;4980;318574;100480;15903;16635;136342;71621;38383;32479;48846;51821;18108;65789;74148;110243;60403;33703;71856;11282;20314;29131;17572;107904;22276;240224;109339;7556;137406;42974;46403;166050;13628;55984;10013;76816;235221;22618;8129;85530;74653;23533;63687;4516
F 85 years and over;3791691;54274;3558;76595;33428;422799;48483;53779;11873;6846;319226;87700;24277;17786;150211;75276;44005;36913;49013;48776;17590;69958;100109;122087;68520;31851;76075;12371;24533;25145;15710;121332;25375;268660;114058;10716;147200;41527;46584;191704;15813;54815;12661;72528;235081;20981;8347;95403;74769;23657;74613;7100
